;t;T1;T2;T;p
326;478.2241335;304.0502416;359.1370134;304.0502416;5
327;479.6579309;304.0484588;359.1201698;304.0484588;5
328;481.080817;304.0555908;359.1370134;304.0555908;5
329;482.5027464;304.0609411;359.1538681;304.0609411;5
330;483.9184637;304.0769989;359.1370134;304.0769989;5
331;485.3338306;304.0752142;359.1707341;304.0752142;5
332;486.7491784;304.0752142;359.1707341;304.0752142;5
333;488.172626;304.0877098;359.1370134;304.0877098;5
334;489.5926493;304.0894954;359.1538681;304.0894954;5
335;491.0094804;304.1037846;359.1876114;304.1037846;5
336;492.4302413;304.1109322;359.1707341;304.1109322;5
337;493.8507896;304.1162943;359.1538681;304.1162943;5
338;495.2658574;304.1180819;359.1876114;304.1180819;5
339;496.6862477;304.1305987;359.1538681;304.1305987;5
340;498.1196533;304.1377539;359.1538681;304.1377539;5
341;499.5509491;304.1449112;359.1707341;304.1449112;5
342;500.97713;304.1610225;359.1707341;304.1610225;5
343;502.3967818;304.1681864;359.1707341;304.1681864;5
344;503.8178414;304.178936;359.1707341;304.178936;5
345;505.2457789;304.1896902;359.1370134;304.1896902;5
346;506.6576465;304.1986555;359.1538681;304.1986555;5
347;508.0757285;304.2112124;359.1370134;304.2112124;5
348;509.5053492;304.2183905;359.1370134;304.2183905;5
349;510.9169374;304.2309571;359.1538681;304.2309571;5
350;512.3541763;304.2417335;359.1370134;304.2417335;5
351;513.7733761;304.2507174;359.1707341;304.2507174;5
352;515.1946137;304.2597044;359.0865164;304.2597044;5
353;516.62208;304.2668963;359.1538681;304.2668963;5
354;518.0567632;304.2776881;359.1033375;304.2776881;5
355;519.4803351;304.2902843;359.1370134;304.2902843;5
356;520.9087509;304.301086;359.1370134;304.301086;5
357;522.3264047;304.3028868;359.0865164;304.3028868;5
358;523.7469103;304.3172973;359.1370134;304.3172973;5
359;525.1687028;304.3281106;359.1538681;304.3281106;5
360;526.5911071;304.3389286;359.0865164;304.3389286;5
361;528.0088026;304.3425356;359.1033375;304.3425356;5
362;529.4400171;304.3551642;359.1033375;304.3551642;5
363;530.8559459;304.3714103;359.0697064;304.3714103;5
364;532.3366725;304.376828;359.0697064;304.376828;5
365;533.7712797;304.3894737;359.0865164;304.3894737;5
366;535.1923933;304.4021258;359.1370134;304.4021258;5
367;536.614915;304.411167;359.1201698;304.411167;5
368;538.029212;304.4274491;359.1370134;304.4274491;5
369;539.4511495;304.4383097;359.1033375;304.4383097;5
370;540.8696721;304.449175;359.0865164;304.449175;5
371;542.2883731;304.4618571;359.1033375;304.4618571;5
372;543.7112387;304.4691068;359.1370134;304.4691068;5
373;545.1295069;304.4745455;359.1538681;304.4745455;5
374;546.5702682;304.4854264;359.1201698;304.4854264;5
375;547.9829158;304.4926829;359.0865164;304.4926829;5
376;549.3953649;304.5144651;359.1370134;304.5144651;5
377;550.8317484;304.5199135;359.1033375;304.5199135;5
378;552.2555724;304.5453553;359.1033375;304.5453553;5
379;553.6906926;304.5453553;359.1201698;304.5453553;5
380;555.1092437;304.5562667;359.1201698;304.5562667;5
381;556.5531298;304.5690027;359.1201698;304.5690027;5
382;557.9748026;304.585387;359.1538681;304.585387;5
383;559.3938773;304.594494;359.1201698;304.594494;5
384;560.8350736;304.6127178;359.1033375;304.6127178;5
385;562.253787;304.620011;359.1201698;304.620011;5
386;563.6686202;304.6364284;359.1033375;304.6364284;5
387;565.0912566;304.6492049;359.1201698;304.6492049;5
388;566.5122046;304.6638146;359.0697064;304.6638146;5
389;567.9365925;304.6820885;359.1201698;304.6820885;5
390;569.3542955;304.6894018;359.1201698;304.6894018;5
391;570.7780923;304.7022051;359.1201698;304.7022051;5
392;572.1996899;304.7150149;359.1033375;304.7150149;5
393;573.6448437;304.7278313;359.1538681;304.7278313;5
394;575.0602943;304.744319;359.1201698;304.744319;5
395;576.4991795;304.7681536;359.1538681;304.7681536;5
397;579.3388908;304.7901747;359.1201698;304.7901747;5
399;582.1896601;304.8195662;359.1033375;304.8195662;5
400;583.6114353;304.8324357;359.1201698;304.8324357;5
401;585.0306942;304.8434719;359.1033375;304.8434719;5
402;586.4509244;304.8563536;359.0361199;304.8563536;5
403;587.8846326;304.8674003;359.1370134;304.8674003;5
404;589.3096209;304.8766096;359.1707341;304.8766096;5
405;590.7293042;304.8821368;359.1876114;304.8821368;5
406;592.1476883;304.9005695;359.1707341;304.9005695;5
